date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-10-05,06:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,06:00:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,06:00:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,06:00:00,10,정자로,신기사거리,상록사거리,440,50,35,45.0,1
2025-10-05,06:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,06:00:00,4,정자로,상록사거리,신기사거리,440,50,46,34.0,1
2025-10-05,06:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,27,21.0,1
2025-10-05,06:00:00,5,정자로,신기사거리,정든마을사거리,374,50,40,34.0,1
2025-10-05,06:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,06:00:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,06:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,28,72.0,3
2025-10-05,06:10:00,11,정자로,상록사거리,금곡교사거리,152,50,36,15.0,1
2025-10-05,06:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,28,72.0,3
2025-10-05,06:10:00,4,정자로,상록사거리,신기사거리,440,50,42,38.0,1
2025-10-05,06:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,27,21.0,1
2025-10-05,06:10:00,10,정자로,신기사거리,상록사거리,440,50,36,44.0,1
2025-10-05,06:10:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,06:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,33,83.0,1
2025-10-05,06:10:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,06:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,06:10:00,5,정자로,신기사거리,정든마을사거리,374,50,12,112.0,3
2025-10-05,06:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,06:20:00,11,정자로,상록사거리,금곡교사거리,152,50,32,17.0,1
2025-10-05,06:20:00,10,정자로,신기사거리,상록사거리,440,50,27,59.0,1
2025-10-05,06:20:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,06:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,25,81.0,3
2025-10-05,06:20:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,06:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,06:20:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,06:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,27,21.0,1
2025-10-05,06:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,06:20:00,4,정자로,상록사거리,신기사거리,440,50,38,42.0,1
2025-10-05,06:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-05,06:30:00,10,정자로,신기사거리,상록사거리,440,50,36,44.0,1
2025-10-05,06:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-05,06:30:00,4,정자로,상록사거리,신기사거리,440,50,38,42.0,1
2025-10-05,06:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,22,26.0,2
2025-10-05,06:30:00,9,내정로,계원삼거리,신기사거리,390,30,23,61.0,2
2025-10-05,06:30:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,06:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,20,66.0,2
2025-10-05,06:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,25,81.0,3
2025-10-05,06:30:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,06:30:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,06:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,06:40:00,5,정자로,신기사거리,정든마을사거리,374,50,33,41.0,1
2025-10-05,06:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,23,25.0,2
2025-10-05,06:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,46,44.0,2
2025-10-05,06:40:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,06:40:00,8,불정로,불정사거리,계원삼거리,387,50,42,33.0,1
2025-10-05,06:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,06:40:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,06:40:00,4,정자로,상록사거리,신기사거리,440,50,33,48.0,1
2025-10-05,06:40:00,10,정자로,신기사거리,상록사거리,440,50,36,44.0,1
2025-10-05,06:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,21,96.0,2
2025-10-05,06:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,06:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-10-05,06:50:00,8,불정로,불정사거리,계원삼거리,387,50,48,29.0,1
2025-10-05,06:50:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,06:50:00,10,정자로,신기사거리,상록사거리,440,50,39,41.0,1
2025-10-05,06:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,46,44.0,2
2025-10-05,06:50:00,9,내정로,계원삼거리,신기사거리,390,30,19,74.0,2
2025-10-05,06:50:00,5,정자로,신기사거리,정든마을사거리,374,50,36,37.0,1
2025-10-05,06:50:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-10-05,06:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,19,30.0,2
2025-10-05,06:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,06:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:00:00,10,정자로,신기사거리,상록사거리,440,50,39,41.0,1
2025-10-05,07:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,19,30.0,2
2025-10-05,07:00:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-10-05,07:00:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,07:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,23,88.0,2
2025-10-05,07:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,26,105.0,1
2025-10-05,07:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,46,44.0,2
2025-10-05,07:00:00,5,정자로,신기사거리,정든마을사거리,374,50,36,37.0,1
2025-10-05,07:00:00,9,내정로,계원삼거리,신기사거리,390,30,17,83.0,2
2025-10-05,07:00:00,8,불정로,불정사거리,계원삼거리,387,50,39,36.0,1
2025-10-05,07:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:10:00,8,불정로,불정사거리,계원삼거리,387,50,41,34.0,1
2025-10-05,07:10:00,11,정자로,상록사거리,금곡교사거리,152,50,27,20.0,1
2025-10-05,07:10:00,4,정자로,상록사거리,신기사거리,440,50,26,61.0,1
2025-10-05,07:10:00,5,정자로,신기사거리,정든마을사거리,374,50,35,38.0,1
2025-10-05,07:10:00,9,내정로,계원삼거리,신기사거리,390,30,16,88.0,2
2025-10-05,07:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,19,30.0,2
2025-10-05,07:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,24,84.0,2
2025-10-05,07:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,07:10:00,10,정자로,신기사거리,상록사거리,440,50,39,41.0,1
2025-10-05,07:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,47,43.0,2
2025-10-05,07:20:00,10,정자로,신기사거리,상록사거리,440,50,38,42.0,1
2025-10-05,07:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,24,84.0,2
2025-10-05,07:20:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,07:20:00,5,정자로,신기사거리,정든마을사거리,374,50,32,42.0,1
2025-10-05,07:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-10-05,07:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,07:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,51,40.0,1
2025-10-05,07:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:20:00,11,정자로,상록사거리,금곡교사거리,152,50,17,32.0,2
2025-10-05,07:20:00,9,내정로,계원삼거리,신기사거리,390,30,14,101.0,2
2025-10-05,07:20:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,07:30:00,10,정자로,신기사거리,상록사거리,440,50,37,43.0,1
2025-10-05,07:30:00,9,내정로,계원삼거리,신기사거리,390,30,13,108.0,2
2025-10-05,07:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-10-05,07:30:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,07:30:00,5,정자로,신기사거리,정든마을사거리,374,50,29,46.0,1
2025-10-05,07:30:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,07:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-10-05,07:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,07:30:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,07:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,49,41.0,2
2025-10-05,07:40:00,11,정자로,상록사거리,금곡교사거리,152,50,28,20.0,1
2025-10-05,07:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,55,37.0,1
2025-10-05,07:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,20,28.0,2
2025-10-05,07:40:00,8,불정로,불정사거리,계원삼거리,387,50,49,29.0,1
2025-10-05,07:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,18,112.0,2
2025-10-05,07:40:00,5,정자로,신기사거리,정든마을사거리,374,50,29,46.0,1
2025-10-05,07:40:00,9,내정로,계원삼거리,신기사거리,390,30,13,108.0,2
2025-10-05,07:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,23,119.0,2
2025-10-05,07:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,15,89.0,2
2025-10-05,07:40:00,4,정자로,상록사거리,신기사거리,440,50,29,55.0,1
2025-10-05,07:40:00,10,정자로,신기사거리,상록사거리,440,50,35,45.0,1
2025-10-05,07:50:00,9,내정로,계원삼거리,신기사거리,390,30,16,88.0,2
2025-10-05,07:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,48,42.0,2
2025-10-05,07:50:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
2025-10-05,07:50:00,5,정자로,신기사거리,정든마을사거리,374,50,21,64.0,2
2025-10-05,07:50:00,8,불정로,불정사거리,계원삼거리,387,50,48,29.0,1
2025-10-05,07:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,16,36.0,2
2025-10-05,07:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,07:50:00,11,정자로,상록사거리,금곡교사거리,152,50,29,19.0,1
2025-10-05,07:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,07:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,07:50:00,10,정자로,신기사거리,상록사거리,440,50,37,43.0,1
2025-10-05,08:00:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,08:00:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,08:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
